           m(kg)         x_cg(m)     Ixx(kg-m^2)     Iyy(kg-m^2)
          473.61            2.53            9.78          618.27
          473.35            2.53            9.77          618.03
          473.09            2.53            9.77          617.80
          472.83            2.53            9.77          617.56
          472.57            2.53            9.76          617.33
          472.32            2.53            9.76          617.09
          472.06            2.53            9.76          616.86
          471.81            2.53            9.75          616.63
          471.56            2.53            9.75          616.41
          471.31            2.53            9.74          616.18
          471.06            2.53            9.74          615.95
          470.81            2.53            9.74          615.73
          470.57            2.53            9.73          615.51
          470.32            2.53            9.73          615.29
          470.08            2.53            9.72          615.07
          469.84            2.53            9.72          614.85
          469.60            2.53            9.72          614.63
          469.36            2.53            9.71          614.42
          469.13            2.53            9.71          614.20
          468.89            2.53            9.71          613.99
          468.66            2.53            9.70          613.78
          468.43            2.53            9.70          613.57
          468.20            2.52            9.70          613.36
          467.97            2.52            9.69          613.15
          467.74            2.52            9.69          612.94
          467.52            2.52            9.69          612.74
          467.29            2.52            9.68          612.54
          467.07            2.52            9.68          612.33
          466.85            2.52            9.68          612.13
          466.63            2.52            9.67          611.94
          466.41            2.52            9.67          611.74
          466.20            2.52            9.67          611.54
          465.98            2.52            9.66          611.35
          465.77            2.52            9.66          611.15
          465.56            2.52            9.66          610.96
          465.35            2.52            9.65          610.77
          465.14            2.52            9.65          610.58
          464.93            2.52            9.65          610.39
          464.73            2.52            9.64          610.21
          464.52            2.52            9.64          610.02
          464.32            2.52            9.64          609.84
          464.12            2.52            9.63          609.66
          463.92            2.52            9.63          609.47
          463.72            2.52            9.63          609.29
          463.52            2.52            9.62          609.12
          463.33            2.52            9.62          608.94
          463.14            2.52            9.62          608.76
          462.94            2.52            9.62          608.59
          462.75            2.52            9.61          608.42
          462.56            2.52            9.61          608.25
          462.38            2.52            9.61          608.08
          462.19            2.52            9.60          607.91
          462.01            2.52            9.60          607.74
          461.82            2.52            9.60          607.58
          461.64            2.52            9.60          607.41
          461.46            2.52            9.59          607.25
          461.29            2.52            9.59          607.09
          461.11            2.52            9.59          606.93
          460.93            2.52            9.58          606.77
          460.76            2.52            9.58          606.61
          460.59            2.52            9.58          606.45
          460.42            2.52            9.58          606.30
          460.25            2.52            9.57          606.15
          460.08            2.52            9.57          605.99
          459.92            2.52            9.57          605.84
          459.75            2.52            9.57          605.69
          459.59            2.52            9.56          605.55
          459.43            2.52            9.56          605.40
          459.27            2.52            9.56          605.26
          459.11            2.52            9.56          605.11
          458.95            2.52            9.55          604.97
          458.80            2.52            9.55          604.83
          458.64            2.52            9.55          604.69
          458.49            2.52            9.55          604.55
          458.34            2.51            9.55          604.41
          458.19            2.51            9.54          604.28
          458.04            2.51            9.54          604.15
          457.90            2.51            9.54          604.01
          457.75            2.51            9.54          603.88
          457.61            2.51            9.53          603.75
          457.47            2.51            9.53          603.62
          457.33            2.51            9.53          603.50
          457.19            2.51            9.53          603.37
          457.05            2.51            9.53          603.25
          456.92            2.51            9.52          603.12
          456.79            2.51            9.52          603.00
          456.65            2.51            9.52          602.88
          456.52            2.51            9.52          602.77
          456.39            2.51            9.52          602.65
          456.27            2.51            9.51          602.53
          456.14            2.51            9.51          602.42
          456.01            2.51            9.51          602.30
          455.89            2.51            9.51          602.19
          455.77            2.51            9.51          602.08
          455.65            2.51            9.50          601.97
          455.52            2.51            9.50          601.86
          455.40            2.51            9.50          601.75
          455.28            2.51            9.50          601.64
          455.16            2.51            9.50          601.53
          455.04            2.51            9.49          601.42
          454.92            2.51            9.49          601.31
          454.80            2.51            9.49          601.20
          454.68            2.51            9.49          601.09
          454.56            2.51            9.49          600.98
          454.44            2.51            9.49          600.88
          454.32            2.51            9.48          600.77
          454.20            2.51            9.48          600.66
          454.08            2.51            9.48          600.55
          453.97            2.51            9.48          600.45
          453.85            2.51            9.48          600.34
          453.73            2.51            9.47          600.23
          453.61            2.51            9.47          600.13
          453.50            2.51            9.47          600.02
          453.38            2.51            9.47          599.91
          453.26            2.51            9.47          599.81
          453.15            2.51            9.47          599.70
          453.03            2.51            9.46          599.60
          452.92            2.51            9.46          599.50
          452.80            2.51            9.46          599.39
          452.69            2.51            9.46          599.29
          452.57            2.51            9.46          599.18
          452.46            2.51            9.46          599.08
          452.35            2.51            9.45          598.98
          452.23            2.51            9.45          598.87
          452.12            2.51            9.45          598.77
          452.01            2.51            9.45          598.67
          451.90            2.51            9.45          598.57
          451.78            2.51            9.45          598.47
          451.67            2.51            9.44          598.37
          451.56            2.51            9.44          598.26
          451.45            2.51            9.44          598.16
          451.34            2.51            9.44          598.06
          451.23            2.51            9.44          597.96
          451.12            2.51            9.43          597.86
          451.01            2.51            9.43          597.76
          450.90            2.51            9.43          597.66
          450.79            2.51            9.43          597.57
          450.68            2.51            9.43          597.47
          450.57            2.51            9.43          597.37
          450.47            2.51            9.42          597.27
          450.36            2.51            9.42          597.17
          450.25            2.51            9.42          597.07
          450.14            2.51            9.42          596.98
          450.04            2.51            9.42          596.88
          449.93            2.51            9.42          596.78
          449.82            2.51            9.42          596.69
          449.72            2.51            9.41          596.59
          449.61            2.51            9.41          596.50
          449.51            2.51            9.41          596.40
          449.40            2.51            9.41          596.30
          449.30            2.51            9.41          596.21
          449.19            2.51            9.41          596.12
          449.09            2.51            9.40          596.02
          448.98            2.51            9.40          595.93
          448.88            2.51            9.40          595.83
          448.78            2.51            9.40          595.74
          448.68            2.51            9.40          595.65
          448.57            2.51            9.40          595.55
          448.47            2.50            9.39          595.46
          448.37            2.50            9.39          595.37
          448.27            2.50            9.39          595.28
          448.17            2.50            9.39          595.18
          448.07            2.50            9.39          595.09
          447.97            2.50            9.39          595.00
          447.86            2.50            9.39          594.91
          447.76            2.50            9.38          594.82
          447.67            2.50            9.38          594.73
          447.57            2.50            9.38          594.64
          447.47            2.50            9.38          594.55
          447.37            2.50            9.38          594.46
          447.27            2.50            9.38          594.37
          447.17            2.50            9.37          594.28
          447.07            2.50            9.37          594.19
          446.98            2.50            9.37          594.11
          446.88            2.50            9.37          594.02
          446.78            2.50            9.37          593.93
          446.69            2.50            9.37          593.84
          446.59            2.50            9.37          593.76
          446.50            2.50            9.36          593.67
          446.40            2.50            9.36          593.58
          446.30            2.50            9.36          593.50
          446.21            2.50            9.36          593.41
          446.12            2.50            9.36          593.32
          446.02            2.50            9.36          593.24
          445.93            2.50            9.36          593.15
          445.83            2.50            9.35          593.07
          445.74            2.50            9.35          592.98
          445.65            2.50            9.35          592.90
          445.56            2.50            9.35          592.82
          445.46            2.50            9.35          592.73
          445.37            2.50            9.35          592.65
          445.28            2.50            9.35          592.57
          445.19            2.50            9.34          592.48
          445.10            2.50            9.34          592.40
          445.01            2.50            9.34          592.32
          444.91            2.50            9.34          592.24
          444.82            2.50            9.34          592.15
          444.73            2.50            9.34          592.07
          444.64            2.50            9.34          591.99
          444.55            2.50            9.33          591.90
          444.46            2.50            9.33          591.82
          444.37            2.50            9.33          591.74
          444.28            2.50            9.33          591.66
          444.19            2.50            9.33          591.57
          444.10            2.50            9.33          591.49
          444.01            2.50            9.33          591.41
          443.91            2.50            9.32          591.33
          443.82            2.50            9.32          591.25
          443.73            2.50            9.32          591.16
          443.64            2.50            9.32          591.08
          443.55            2.50            9.32          591.00
          443.46            2.50            9.32          590.92
          443.37            2.50            9.32          590.83
          443.28            2.50            9.32          590.75
          443.19            2.50            9.31          590.67
          443.10            2.50            9.31          590.59
          443.01            2.50            9.31          590.51
          442.92            2.50            9.31          590.42
          442.83            2.50            9.31          590.34
          442.74            2.50            9.31          590.26
          442.65            2.50            9.31          590.18
          442.56            2.50            9.30          590.10
          442.47            2.50            9.30          590.02
          442.38            2.50            9.30          589.93
          442.29            2.50            9.30          589.85
          442.20            2.50            9.30          589.77
          442.11            2.50            9.30          589.69
          442.02            2.50            9.30          589.61
          441.93            2.50            9.29          589.53
          441.84            2.50            9.29          589.45
          441.75            2.50            9.29          589.36
          441.66            2.50            9.29          589.28
          441.57            2.50            9.29          589.20
          441.48            2.50            9.29          589.12
          441.39            2.50            9.29          589.04
          441.30            2.50            9.28          588.96
          441.21            2.50            9.28          588.88
          441.12            2.50            9.28          588.79
          441.03            2.50            9.28          588.71
          440.94            2.50            9.28          588.63
          440.85            2.50            9.28          588.55
          440.77            2.50            9.28          588.47
          440.68            2.50            9.28          588.39
          440.59            2.50            9.27          588.31
          440.50            2.50            9.27          588.23
          440.41            2.50            9.27          588.15
          440.32            2.50            9.27          588.07
          440.23            2.50            9.27          587.99
          440.14            2.50            9.27          587.90
          440.05            2.50            9.27          587.82
          439.96            2.50            9.26          587.74
          439.87            2.50            9.26          587.66
          439.79            2.50            9.26          587.58
          439.70            2.50            9.26          587.50
          439.61            2.50            9.26          587.42
          439.52            2.50            9.26          587.34
          439.43            2.50            9.26          587.26
          439.34            2.50            9.26          587.18
          439.25            2.50            9.25          587.10
          439.17            2.50            9.25          587.02
          439.08            2.50            9.25          586.94
          438.99            2.50            9.25          586.86
          438.90            2.50            9.25          586.78
          438.81            2.50            9.25          586.70
          438.72            2.50            9.25          586.62
          438.64            2.50            9.24          586.54
          438.55            2.49            9.24          586.46
          438.46            2.49            9.24          586.38
          438.37            2.49            9.24          586.30
          438.28            2.49            9.24          586.22
          438.19            2.49            9.24          586.14
          438.11            2.49            9.24          586.06
          438.02            2.49            9.23          585.98
          437.93            2.49            9.23          585.90
          437.84            2.49            9.23          585.82
          437.75            2.49            9.23          585.74
          437.67            2.49            9.23          585.66
          437.58            2.49            9.23          585.58
          437.49            2.49            9.23          585.50
          437.40            2.49            9.23          585.42
          437.32            2.49            9.22          585.34
          437.23            2.49            9.22          585.26
          437.14            2.49            9.22          585.18
          437.05            2.49            9.22          585.10
          436.97            2.49            9.22          585.02
          436.88            2.49            9.22          584.94
          436.79            2.49            9.22          584.86
          436.70            2.49            9.21          584.79
          436.62            2.49            9.21          584.71
          436.53            2.49            9.21          584.63
          436.44            2.49            9.21          584.55
          436.35            2.49            9.21          584.47
          436.27            2.49            9.21          584.39
          436.18            2.49            9.21          584.31
          436.09            2.49            9.21          584.23
          436.01            2.49            9.20          584.15
          435.92            2.49            9.20          584.07
          435.83            2.49            9.20          583.99
          435.74            2.49            9.20          583.92
          435.66            2.49            9.20          583.84
          435.57            2.49            9.20          583.76
          435.48            2.49            9.20          583.68
          435.40            2.49            9.19          583.60
          435.31            2.49            9.19          583.52
          435.22            2.49            9.19          583.44
          435.14            2.49            9.19          583.36
          435.05            2.49            9.19          583.29
          434.96            2.49            9.19          583.21
          434.88            2.49            9.19          583.13
          434.79            2.49            9.19          583.05
          434.70            2.49            9.18          582.97
          434.62            2.49            9.18          582.89
          434.53            2.49            9.18          582.81
          434.44            2.49            9.18          582.73
          434.36            2.49            9.18          582.66
          434.27            2.49            9.18          582.58
          434.18            2.49            9.18          582.50
          434.10            2.49            9.17          582.42
          434.01            2.49            9.17          582.34
          433.92            2.49            9.17          582.26
          433.84            2.49            9.17          582.19
          433.75            2.49            9.17          582.11
          433.67            2.49            9.17          582.03
          433.58            2.49            9.17          581.95
          433.49            2.49            9.17          581.87
          433.41            2.49            9.16          581.80
          433.32            2.49            9.16          581.72
          433.23            2.49            9.16          581.64
          433.15            2.49            9.16          581.56
          433.06            2.49            9.16          581.48
          432.98            2.49            9.16          581.40
          432.89            2.49            9.16          581.33
          432.80            2.49            9.16          581.25
          432.72            2.49            9.15          581.17
          432.63            2.49            9.15          581.09
          432.55            2.49            9.15          581.01
          432.46            2.49            9.15          580.94
          432.38            2.49            9.15          580.86
          432.29            2.49            9.15          580.78
          432.20            2.49            9.15          580.70
          432.12            2.49            9.14          580.63
          432.03            2.49            9.14          580.55
          431.95            2.49            9.14          580.47
          431.86            2.49            9.14          580.39
          431.78            2.49            9.14          580.32
          431.69            2.49            9.14          580.24
          431.60            2.49            9.14          580.16
          431.52            2.49            9.14          580.08
          431.43            2.49            9.13          580.00
          431.35            2.49            9.13          579.93
          431.26            2.49            9.13          579.85
          431.18            2.49            9.13          579.77
          431.09            2.49            9.13          579.69
          431.01            2.49            9.13          579.62
          430.92            2.49            9.13          579.54
          430.84            2.49            9.13          579.46
          430.75            2.49            9.12          579.39
          430.67            2.49            9.12          579.31
          430.58            2.49            9.12          579.23
          430.50            2.49            9.12          579.15
          430.41            2.49            9.12          579.08
          430.33            2.49            9.12          579.00
          430.24            2.49            9.12          578.92
          430.15            2.49            9.11          578.85
          430.07            2.49            9.11          578.77
          429.99            2.49            9.11          578.69
          429.90            2.49            9.11          578.61
          429.82            2.49            9.11          578.54
          429.73            2.49            9.11          578.46
          429.65            2.49            9.11          578.38
          429.56            2.49            9.11          578.31
          429.48            2.49            9.10          578.23
          429.39            2.49            9.10          578.15
          429.31            2.49            9.10          578.08
          429.22            2.49            9.10          578.00
          429.14            2.49            9.10          577.92
          429.05            2.49            9.10          577.85
          428.97            2.49            9.10          577.77
          428.88            2.49            9.10          577.69
          428.80            2.49            9.09          577.62
          428.71            2.49            9.09          577.54
          428.63            2.48            9.09          577.46
          428.55            2.48            9.09          577.39
          428.46            2.48            9.09          577.31
          428.38            2.48            9.09          577.23
          428.29            2.48            9.09          577.16
          428.21            2.48            9.08          577.08
          428.12            2.48            9.08          577.00
          428.04            2.48            9.08          576.93
          427.96            2.48            9.08          576.85
          427.87            2.48            9.08          576.77
          427.79            2.48            9.08          576.70
          427.70            2.48            9.08          576.62
          427.62            2.48            9.08          576.54
          427.54            2.48            9.07          576.47
          427.45            2.48            9.07          576.39
          427.37            2.48            9.07          576.32
          427.28            2.48            9.07          576.24
          427.20            2.48            9.07          576.16
          427.11            2.48            9.07          576.09
          427.03            2.48            9.07          576.01
          426.95            2.48            9.07          575.93
          426.86            2.48            9.06          575.86
          426.78            2.48            9.06          575.78
          426.69            2.48            9.06          575.71
          426.61            2.48            9.06          575.63
          426.53            2.48            9.06          575.55
          426.44            2.48            9.06          575.48
