          t(sec)     p(kgf/cm^2)     TF_sea(kgf)  TF_vacuum(kgf)   dm/dt(kg/sec)
            6.03           32.73         1729.28         1998.28            8.89
            6.04           32.71         1728.04         1997.04            8.88
            6.05           32.69         1726.80         1995.80            8.88
            6.06           32.67         1725.56         1994.56            8.88
            6.07           32.65         1724.32         1993.32            8.87
            6.08           32.62         1723.08         1992.08            8.87
            6.09           32.60         1721.84         1990.84            8.86
            6.10           32.58         1720.60         1989.60            8.86
            6.11           32.56         1719.36         1988.36            8.86
            6.12           32.54         1718.12         1987.12            8.85
            6.13           32.51         1716.88         1985.88            8.85
            6.14           32.49         1715.64         1984.64            8.84
            6.15           32.47         1714.40         1983.40            8.84
            6.16           32.45         1713.16         1982.16            8.84
            6.17           32.43         1711.92         1980.92            8.83
            6.18           32.40         1710.68         1979.68            8.83
            6.19           32.38         1709.44         1978.44            8.82
            6.20           32.36         1708.20         1977.20            8.82
            6.21           32.34         1706.96         1975.96            8.82
            6.22           32.32         1705.72         1974.72            8.81
            6.23           32.29         1704.48         1973.48            8.81
            6.24           32.27         1703.24         1972.24            8.80
            6.25           32.25         1702.00         1971.00            8.80
            6.26           32.23         1700.76         1969.76            8.80
            6.27           32.21         1699.52         1968.52            8.79
            6.28           32.18         1698.28         1967.28            8.79
            6.29           32.16         1697.04         1966.04            8.78
            6.30           32.14         1695.80         1964.80            8.78
            6.31           32.12         1694.56         1963.56            8.78
            6.32           32.10         1693.32         1962.32            8.77
            6.33           32.07         1692.08         1961.08            8.77
            6.34           32.05         1690.84         1959.84            8.76
            6.35           32.03         1689.60         1958.60            8.76
            6.36           32.01         1688.36         1957.36            8.76
            6.37           31.99         1687.12         1956.12            8.75
            6.38           31.96         1685.88         1954.88            8.75
            6.39           31.94         1684.64         1953.64            8.74
            6.40           31.92         1683.40         1952.40            8.74
            6.41           31.90         1682.16         1951.16            8.74
            6.42           31.88         1680.92         1949.92            8.73
            6.43           31.85         1679.68         1948.68            8.73
            6.44           31.83         1678.44         1947.44            8.72
            6.45           31.81         1677.20         1946.20            8.72
            6.46           31.79         1675.96         1944.96            8.72
            6.47           31.77         1674.72         1943.72            8.71
            6.48           31.74         1673.48         1942.48            8.71
            6.49           31.72         1672.24         1941.24            8.70
            6.50           31.70         1671.00         1940.00            8.70
            6.51           31.68         1669.76         1938.76            8.70
            6.52           31.66         1668.52         1937.52            8.69
            6.53           31.63         1667.28         1936.28            8.69
            6.54           31.61         1666.04         1935.04            8.68
            6.55           31.59         1664.80         1933.80            8.68
            6.56           31.57         1663.56         1932.56            8.68
            6.57           31.55         1662.32         1931.32            8.67
            6.58           31.52         1661.08         1930.08            8.67
            6.59           31.50         1659.84         1928.84            8.66
            6.60           31.48         1658.60         1927.60            8.66
            6.61           31.46         1657.36         1926.36            8.66
            6.62           31.44         1656.12         1925.12            8.65
            6.63           31.41         1654.88         1923.88            8.65
            6.64           31.39         1653.64         1922.64            8.64
            6.65           31.37         1652.40         1921.40            8.64
            6.66           31.35         1651.16         1920.16            8.64
            6.67           31.33         1649.92         1918.92            8.63
            6.68           31.30         1648.68         1917.68            8.63
            6.69           31.28         1647.44         1916.44            8.62
            6.70           31.26         1646.20         1915.20            8.62
            6.71           31.24         1644.96         1913.96            8.62
            6.72           31.22         1643.72         1912.72            8.61
            6.73           31.19         1642.48         1911.48            8.61
            6.74           31.17         1641.24         1910.24            8.60
            6.75           31.15         1640.00         1909.00            8.60
            6.76           31.13         1638.76         1907.76            8.60
            6.77           31.11         1637.52         1906.52            8.59
            6.78           31.08         1636.28         1905.28            8.59
            6.79           31.06         1635.04         1904.04            8.58
            6.80           31.04         1633.80         1902.80            8.58
            6.81           31.02         1632.56         1901.56            8.58
            6.82           31.00         1631.32         1900.32            8.57
            6.83           30.97         1630.08         1899.08            8.57
            6.84           30.95         1628.84         1897.84            8.56
            6.85           30.93         1627.60         1896.60            8.56
            6.86           30.91         1626.36         1895.36            8.56
            6.87           30.89         1625.12         1894.12            8.55
            6.88           30.86         1623.88         1892.88            8.55
            6.89           30.84         1622.64         1891.64            8.54
            6.90           30.82         1621.40         1890.40            8.54
            6.91           30.80         1620.16         1889.16            8.54
            6.92           30.78         1618.92         1887.92            8.53
            6.93           30.75         1617.68         1886.68            8.53
            6.94           30.73         1616.44         1885.44            8.52
            6.95           30.71         1615.20         1884.20            8.52
            6.96           30.69         1613.96         1882.96            8.52
            6.97           30.67         1612.72         1881.72            8.51
            6.98           30.64         1611.48         1880.48            8.51
            6.99           30.62         1610.24         1879.24            8.50
            7.00           30.60         1609.00         1878.00            8.50
            7.01           30.59         1608.13         1877.13            8.50
            7.02           30.57         1607.26         1876.26            8.49
            7.03           30.56         1606.39         1875.39            8.49
            7.04           30.54         1605.52         1874.52            8.49
            7.05           30.53         1604.65         1873.65            8.49
            7.06           30.51         1603.78         1872.78            8.48
            7.07           30.50         1602.91         1871.91            8.48
            7.08           30.48         1602.04         1871.04            8.48
            7.09           30.47         1601.17         1870.17            8.47
            7.10           30.45         1600.30         1869.30            8.47
            7.11           30.44         1599.43         1868.43            8.47
            7.12           30.42         1598.56         1867.56            8.46
            7.13           30.41         1597.69         1866.69            8.46
            7.14           30.39         1596.82         1865.82            8.46
            7.15           30.38         1595.95         1864.95            8.46
            7.16           30.36         1595.08         1864.08            8.45
            7.17           30.35         1594.21         1863.21            8.45
            7.18           30.33         1593.34         1862.34            8.45
            7.19           30.32         1592.47         1861.47            8.44
            7.20           30.30         1591.60         1860.60            8.44
            7.21           30.29         1590.73         1859.73            8.44
            7.22           30.27         1589.86         1858.86            8.43
            7.23           30.26         1588.99         1857.99            8.43
            7.24           30.24         1588.12         1857.12            8.43
            7.25           30.23         1587.25         1856.25            8.43
            7.26           30.21         1586.38         1855.38            8.42
            7.27           30.20         1585.51         1854.51            8.42
            7.28           30.18         1584.64         1853.64            8.42
            7.29           30.17         1583.77         1852.77            8.41
            7.30           30.15         1582.90         1851.90            8.41
            7.31           30.14         1582.03         1851.03            8.41
            7.32           30.12         1581.16         1850.16            8.40
            7.33           30.11         1580.29         1849.29            8.40
            7.34           30.09         1579.42         1848.42            8.40
            7.35           30.08         1578.55         1847.55            8.40
            7.36           30.06         1577.68         1846.68            8.39
            7.37           30.05         1576.81         1845.81            8.39
            7.38           30.03         1575.94         1844.94            8.39
            7.39           30.02         1575.07         1844.07            8.38
            7.40           30.00         1574.20         1843.20            8.38
            7.41           29.99         1573.33         1842.33            8.38
            7.42           29.97         1572.46         1841.46            8.37
            7.43           29.96         1571.59         1840.59            8.37
            7.44           29.94         1570.72         1839.72            8.37
            7.45           29.93         1569.85         1838.85            8.37
            7.46           29.91         1568.98         1837.98            8.36
            7.47           29.90         1568.11         1837.11            8.36
            7.48           29.88         1567.24         1836.24            8.36
            7.49           29.87         1566.37         1835.37            8.35
            7.50           29.85         1565.50         1834.50            8.35
            7.51           29.84         1564.63         1833.63            8.35
            7.52           29.82         1563.76         1832.76            8.34
            7.53           29.81         1562.89         1831.89            8.34
            7.54           29.79         1562.02         1831.02            8.34
            7.55           29.78         1561.15         1830.15            8.34
            7.56           29.76         1560.28         1829.28            8.33
            7.57           29.75         1559.41         1828.41            8.33
            7.58           29.73         1558.54         1827.54            8.33
            7.59           29.72         1557.67         1826.67            8.32
            7.60           29.70         1556.80         1825.80            8.32
            7.61           29.69         1555.93         1824.93            8.32
            7.62           29.67         1555.06         1824.06            8.31
            7.63           29.66         1554.19         1823.19            8.31
            7.64           29.64         1553.32         1822.32            8.31
            7.65           29.63         1552.45         1821.45            8.31
            7.66           29.61         1551.58         1820.58            8.30
            7.67           29.60         1550.71         1819.71            8.30
            7.68           29.58         1549.84         1818.84            8.30
            7.69           29.57         1548.97         1817.97            8.29
            7.70           29.55         1548.10         1817.10            8.29
            7.71           29.54         1547.23         1816.23            8.29
            7.72           29.52         1546.36         1815.36            8.28
            7.73           29.51         1545.49         1814.49            8.28
            7.74           29.49         1544.62         1813.62            8.28
            7.75           29.48         1543.75         1812.75            8.28
            7.76           29.46         1542.88         1811.88            8.27
            7.77           29.45         1542.01         1811.01            8.27
            7.78           29.43         1541.14         1810.14            8.27
            7.79           29.42         1540.27         1809.27            8.26
            7.80           29.40         1539.40         1808.40            8.26
            7.81           29.39         1538.53         1807.53            8.26
            7.82           29.37         1537.66         1806.66            8.25
            7.83           29.36         1536.79         1805.79            8.25
            7.84           29.34         1535.92         1804.92            8.25
            7.85           29.33         1535.05         1804.05            8.25
            7.86           29.31         1534.18         1803.18            8.24
            7.87           29.30         1533.31         1802.31            8.24
            7.88           29.28         1532.44         1801.44            8.24
            7.89           29.27         1531.57         1800.57            8.23
            7.90           29.25         1530.70         1799.70            8.23
            7.91           29.24         1529.83         1798.83            8.23
            7.92           29.22         1528.96         1797.96            8.22
            7.93           29.21         1528.09         1797.09            8.22
            7.94           29.19         1527.22         1796.22            8.22
            7.95           29.18         1526.35         1795.35            8.22
            7.96           29.16         1525.48         1794.48            8.21
            7.97           29.15         1524.61         1793.61            8.21
            7.98           29.13         1523.74         1792.74            8.21
            7.99           29.12         1522.87         1791.87            8.20
            8.00           29.10         1522.00         1791.00            8.20
            8.01           29.10         1522.03         1791.03            8.20
            8.02           29.10         1522.06         1791.06            8.20
            8.03           29.10         1522.09         1791.09            8.20
            8.04           29.10         1522.12         1791.12            8.20
            8.05           29.10         1522.15         1791.15            8.20
            8.06           29.09         1522.18         1791.18            8.20
            8.07           29.09         1522.21         1791.21            8.20
            8.08           29.09         1522.24         1791.24            8.20
            8.09           29.09         1522.27         1791.27            8.20
            8.10           29.09         1522.30         1791.30            8.20
            8.11           29.09         1522.33         1791.33            8.20
            8.12           29.09         1522.36         1791.36            8.20
            8.13           29.09         1522.39         1791.39            8.20
            8.14           29.09         1522.42         1791.42            8.20
            8.15           29.09         1522.45         1791.45            8.20
            8.16           29.08         1522.48         1791.48            8.20
            8.17           29.08         1522.51         1791.51            8.20
            8.18           29.08         1522.54         1791.54            8.20
            8.19           29.08         1522.57         1791.57            8.20
            8.20           29.08         1522.60         1791.60            8.20
            8.21           29.08         1522.63         1791.63            8.20
            8.22           29.08         1522.66         1791.66            8.20
            8.23           29.08         1522.69         1791.69            8.20
            8.24           29.08         1522.72         1791.72            8.20
            8.25           29.08         1522.75         1791.75            8.20
            8.26           29.07         1522.78         1791.78            8.20
            8.27           29.07         1522.81         1791.81            8.20
            8.28           29.07         1522.84         1791.84            8.20
            8.29           29.07         1522.87         1791.87            8.20
            8.30           29.07         1522.90         1791.90            8.20
            8.31           29.07         1522.93         1791.93            8.20
            8.32           29.07         1522.96         1791.96            8.20
            8.33           29.07         1522.99         1791.99            8.20
            8.34           29.07         1523.02         1792.02            8.20
            8.35           29.07         1523.05         1792.05            8.20
            8.36           29.06         1523.08         1792.08            8.20
            8.37           29.06         1523.11         1792.11            8.20
            8.38           29.06         1523.14         1792.14            8.20
            8.39           29.06         1523.17         1792.17            8.20
            8.40           29.06         1523.20         1792.20            8.20
            8.41           29.06         1523.23         1792.23            8.20
            8.42           29.06         1523.26         1792.26            8.20
            8.43           29.06         1523.29         1792.29            8.20
            8.44           29.06         1523.32         1792.32            8.20
            8.45           29.06         1523.35         1792.35            8.20
            8.46           29.05         1523.38         1792.38            8.20
            8.47           29.05         1523.41         1792.41            8.20
            8.48           29.05         1523.44         1792.44            8.20
            8.49           29.05         1523.47         1792.47            8.20
            8.50           29.05         1523.50         1792.50            8.20
            8.51           29.05         1523.53         1792.53            8.20
            8.52           29.05         1523.56         1792.56            8.20
            8.53           29.05         1523.59         1792.59            8.20
            8.54           29.05         1523.62         1792.62            8.20
            8.55           29.05         1523.65         1792.65            8.20
            8.56           29.04         1523.68         1792.68            8.20
            8.57           29.04         1523.71         1792.71            8.20
            8.58           29.04         1523.74         1792.74            8.20
            8.59           29.04         1523.77         1792.77            8.20
            8.60           29.04         1523.80         1792.80            8.20
            8.61           29.04         1523.83         1792.83            8.20
            8.62           29.04         1523.86         1792.86            8.20
            8.63           29.04         1523.89         1792.89            8.20
            8.64           29.04         1523.92         1792.92            8.20
            8.65           29.04         1523.95         1792.95            8.20
            8.66           29.03         1523.98         1792.98            8.20
            8.67           29.03         1524.01         1793.01            8.20
            8.68           29.03         1524.04         1793.04            8.20
            8.69           29.03         1524.07         1793.07            8.20
            8.70           29.03         1524.10         1793.10            8.20
            8.71           29.03         1524.13         1793.13            8.20
            8.72           29.03         1524.16         1793.16            8.20
            8.73           29.03         1524.19         1793.19            8.20
            8.74           29.03         1524.22         1793.22            8.20
            8.75           29.03         1524.25         1793.25            8.20
            8.76           29.02         1524.28         1793.28            8.20
            8.77           29.02         1524.31         1793.31            8.20
            8.78           29.02         1524.34         1793.34            8.20
            8.79           29.02         1524.37         1793.37            8.20
            8.80           29.02         1524.40         1793.40            8.20
            8.81           29.02         1524.43         1793.43            8.20
            8.82           29.02         1524.46         1793.46            8.20
            8.83           29.02         1524.49         1793.49            8.20
            8.84           29.02         1524.52         1793.52            8.20
            8.85           29.02         1524.55         1793.55            8.20
            8.86           29.01         1524.58         1793.58            8.20
            8.87           29.01         1524.61         1793.61            8.20
            8.88           29.01         1524.64         1793.64            8.20
            8.89           29.01         1524.67         1793.67            8.20
            8.90           29.01         1524.70         1793.70            8.20
            8.91           29.01         1524.73         1793.73            8.20
            8.92           29.01         1524.76         1793.76            8.20
            8.93           29.01         1524.79         1793.79            8.20
            8.94           29.01         1524.82         1793.82            8.20
            8.95           29.01         1524.85         1793.85            8.20
            8.96           29.00         1524.88         1793.88            8.20
            8.97           29.00         1524.91         1793.91            8.20
            8.98           29.00         1524.94         1793.94            8.20
            8.99           29.00         1524.97         1793.97            8.20
            9.00           29.00         1525.00         1794.00            8.20
            9.01           29.01         1525.43         1794.43            8.20
            9.02           29.02         1525.86         1794.86            8.20
            9.03           29.03         1526.29         1795.29            8.21
            9.04           29.04         1526.72         1795.72            8.21
            9.05           29.05         1527.15         1796.15            8.21
            9.06           29.06         1527.58         1796.58            8.21
            9.07           29.07         1528.01         1797.01            8.21
            9.08           29.08         1528.44         1797.44            8.22
            9.09           29.09         1528.87         1797.87            8.22
            9.10           29.10         1529.30         1798.30            8.22
            9.11           29.11         1529.73         1798.73            8.22
            9.12           29.12         1530.16         1799.16            8.22
            9.13           29.13         1530.59         1799.59            8.23
            9.14           29.14         1531.02         1800.02            8.23
            9.15           29.15         1531.45         1800.45            8.23
            9.16           29.16         1531.88         1800.88            8.23
            9.17           29.17         1532.31         1801.31            8.23
            9.18           29.18         1532.74         1801.74            8.24
            9.19           29.19         1533.17         1802.17            8.24
            9.20           29.20         1533.60         1802.60            8.24
            9.21           29.21         1534.03         1803.03            8.24
            9.22           29.22         1534.46         1803.46            8.24
            9.23           29.23         1534.89         1803.89            8.25
            9.24           29.24         1535.32         1804.32            8.25
            9.25           29.25         1535.75         1804.75            8.25
            9.26           29.26         1536.18         1805.18            8.25
            9.27           29.27         1536.61         1805.61            8.25
            9.28           29.28         1537.04         1806.04            8.26
            9.29           29.29         1537.47         1806.47            8.26
            9.30           29.30         1537.90         1806.90            8.26
            9.31           29.31         1538.33         1807.33            8.26
            9.32           29.32         1538.76         1807.76            8.26
            9.33           29.33         1539.19         1808.19            8.27
            9.34           29.34         1539.62         1808.62            8.27
            9.35           29.35         1540.05         1809.05            8.27
            9.36           29.36         1540.48         1809.48            8.27
            9.37           29.37         1540.91         1809.91            8.27
            9.38           29.38         1541.34         1810.34            8.28
            9.39           29.39         1541.77         1810.77            8.28
            9.40           29.40         1542.20         1811.20            8.28
            9.41           29.41         1542.63         1811.63            8.28
            9.42           29.42         1543.06         1812.06            8.28
            9.43           29.43         1543.49         1812.49            8.29
            9.44           29.44         1543.92         1812.92            8.29
            9.45           29.45         1544.35         1813.35            8.29
            9.46           29.46         1544.78         1813.78            8.29
            9.47           29.47         1545.21         1814.21            8.29
            9.48           29.48         1545.64         1814.64            8.30
            9.49           29.49         1546.07         1815.07            8.30
            9.50           29.50         1546.50         1815.50            8.30
            9.51           29.51         1546.93         1815.93            8.30
            9.52           29.52         1547.36         1816.36            8.30
            9.53           29.53         1547.79         1816.79            8.31
            9.54           29.54         1548.22         1817.22            8.31
            9.55           29.55         1548.65         1817.65            8.31
            9.56           29.56         1549.08         1818.08            8.31
            9.57           29.57         1549.51         1818.51            8.31
            9.58           29.58         1549.94         1818.94            8.32
            9.59           29.59         1550.37         1819.37            8.32
            9.60           29.60         1550.80         1819.80            8.32
            9.61           29.61         1551.23         1820.23            8.32
            9.62           29.62         1551.66         1820.66            8.32
            9.63           29.63         1552.09         1821.09            8.33
            9.64           29.64         1552.52         1821.52            8.33
            9.65           29.65         1552.95         1821.95            8.33
            9.66           29.66         1553.38         1822.38            8.33
            9.67           29.67         1553.81         1822.81            8.33
            9.68           29.68         1554.24         1823.24            8.34
            9.69           29.69         1554.67         1823.67            8.34
            9.70           29.70         1555.10         1824.10            8.34
            9.71           29.71         1555.53         1824.53            8.34
            9.72           29.72         1555.96         1824.96            8.34
            9.73           29.73         1556.39         1825.39            8.35
            9.74           29.74         1556.82         1825.82            8.35
            9.75           29.75         1557.25         1826.25            8.35
            9.76           29.76         1557.68         1826.68            8.35
            9.77           29.77         1558.11         1827.11            8.35
            9.78           29.78         1558.54         1827.54            8.36
            9.79           29.79         1558.97         1827.97            8.36
            9.80           29.80         1559.40         1828.40            8.36
            9.81           29.81         1559.83         1828.83            8.36
            9.82           29.82         1560.26         1829.26            8.36
            9.83           29.83         1560.69         1829.69            8.37
            9.84           29.84         1561.12         1830.12            8.37
            9.85           29.85         1561.55         1830.55            8.37
            9.86           29.86         1561.98         1830.98            8.37
            9.87           29.87         1562.41         1831.41            8.37
            9.88           29.88         1562.84         1831.84            8.38
            9.89           29.89         1563.27         1832.27            8.38
            9.90           29.90         1563.70         1832.70            8.38
            9.91           29.91         1564.13         1833.13            8.38
            9.92           29.92         1564.56         1833.56            8.38
            9.93           29.93         1564.99         1833.99            8.39
            9.94           29.94         1565.42         1834.42            8.39
            9.95           29.95         1565.85         1834.85            8.39
            9.96           29.96         1566.28         1835.28            8.39
            9.97           29.97         1566.71         1835.71            8.39
            9.98           29.98         1567.14         1836.14            8.40
            9.99           29.99         1567.57         1836.57            8.40
           10.00           30.00         1568.00         1837.00            8.40
           10.01           30.00         1569.30         1837.30            8.40
           10.02           30.00         1570.60         1837.60            8.40
           10.03           30.00         1571.90         1837.90            8.41
           10.04           30.00         1573.20         1838.20            8.41
           10.05           30.00         1574.50         1838.50            8.41
           10.06           30.00         1575.80         1838.80            8.41
           10.07           30.00         1577.10         1839.10            8.41
           10.08           30.00         1578.40         1839.40            8.42
           10.09           30.00         1579.70         1839.70            8.42
           10.10           30.00         1581.00         1840.00            8.42
           10.11           30.00         1582.30         1840.30            8.42
           10.12           30.00         1583.60         1840.60            8.42
           10.13           30.00         1584.90         1840.90            8.43
           10.14           30.00         1586.20         1841.20            8.43
           10.15           30.00         1587.50         1841.50            8.43
           10.16           30.00         1588.80         1841.80            8.43
           10.17           30.00         1590.10         1842.10            8.43
           10.18           30.00         1591.40         1842.40            8.44
           10.19           30.00         1592.70         1842.70            8.44
           10.20           30.00         1594.00         1843.00            8.44
           10.21           30.00         1595.30         1843.30            8.44
           10.22           30.00         1596.60         1843.60            8.44
           10.23           30.00         1597.90         1843.90            8.45
           10.24           30.00         1599.20         1844.20            8.45
           10.25           30.00         1600.50         1844.50            8.45
           10.26           30.00         1601.80         1844.80            8.45
           10.27           30.00         1603.10         1845.10            8.45
           10.28           30.00         1604.40         1845.40            8.46
           10.29           30.00         1605.70         1845.70            8.46
           10.30           30.00         1607.00         1846.00            8.46
           10.31           30.00         1608.30         1846.30            8.46
           10.32           30.00         1609.60         1846.60            8.46
           10.33           30.00         1610.90         1846.90            8.47
           10.34           30.00         1612.20         1847.20            8.47
           10.35           30.00         1613.50         1847.50            8.47
           10.36           30.00         1614.80         1847.80            8.47
           10.37           30.00         1616.10         1848.10            8.47
           10.38           30.00         1617.40         1848.40            8.48
           10.39           30.00         1618.70         1848.70            8.48
           10.40           30.00         1620.00         1849.00            8.48
           10.41           30.00         1621.30         1849.30            8.48
           10.42           30.00         1622.60         1849.60            8.48
           10.43           30.00         1623.90         1849.90            8.49
           10.44           30.00         1625.20         1850.20            8.49
           10.45           30.00         1626.50         1850.50            8.49
           10.46           30.00         1627.80         1850.80            8.49
           10.47           30.00         1629.10         1851.10            8.49
           10.48           30.00         1630.40         1851.40            8.50
           10.49           30.00         1631.70         1851.70            8.50
           10.50           30.00         1633.00         1852.00            8.50
           10.51           30.00         1634.30         1852.30            8.50
           10.52           30.00         1635.60         1852.60            8.50
           10.53           30.00         1636.90         1852.90            8.51
           10.54           30.00         1638.20         1853.20            8.51
           10.55           30.00         1639.50         1853.50            8.51
           10.56           30.00         1640.80         1853.80            8.51
           10.57           30.00         1642.10         1854.10            8.51
           10.58           30.00         1643.40         1854.40            8.52
           10.59           30.00         1644.70         1854.70            8.52
           10.60           30.00         1646.00         1855.00            8.52
           10.61           30.00         1647.30         1855.30            8.52
           10.62           30.00         1648.60         1855.60            8.52
           10.63           30.00         1649.90         1855.90            8.53
           10.64           30.00         1651.20         1856.20            8.53
           10.65           30.00         1652.50         1856.50            8.53
           10.66           30.00         1653.80         1856.80            8.53
           10.67           30.00         1655.10         1857.10            8.53
           10.68           30.00         1656.40         1857.40            8.54
           10.69           30.00         1657.70         1857.70            8.54
           10.70           30.00         1659.00         1858.00            8.54
           10.71           30.00         1660.30         1858.30            8.54
           10.72           30.00         1661.60         1858.60            8.54
           10.73           30.00         1662.90         1858.90            8.55
           10.74           30.00         1664.20         1859.20            8.55
           10.75           30.00         1665.50         1859.50            8.55
           10.76           30.00         1666.80         1859.80            8.55
           10.77           30.00         1668.10         1860.10            8.55
           10.78           30.00         1669.40         1860.40            8.56
           10.79           30.00         1670.70         1860.70            8.56
           10.80           30.00         1672.00         1861.00            8.56
           10.81           30.00         1673.30         1861.30            8.56
           10.82           30.00         1674.60         1861.60            8.56
           10.83           30.00         1675.90         1861.90            8.57
           10.84           30.00         1677.20         1862.20            8.57
           10.85           30.00         1678.50         1862.50            8.57
           10.86           30.00         1679.80         1862.80            8.57
           10.87           30.00         1681.10         1863.10            8.57
           10.88           30.00         1682.40         1863.40            8.58
           10.89           30.00         1683.70         1863.70            8.58
           10.90           30.00         1685.00         1864.00            8.58
           10.91           30.00         1686.30         1864.30            8.58
           10.92           30.00         1687.60         1864.60            8.58
           10.93           30.00         1688.90         1864.90            8.59
           10.94           30.00         1690.20         1865.20            8.59
           10.95           30.00         1691.50         1865.50            8.59
           10.96           30.00         1692.80         1865.80            8.59
           10.97           30.00         1694.10         1866.10            8.59
           10.98           30.00         1695.40         1866.40            8.60
           10.99           30.00         1696.70         1866.70            8.60
           11.00           30.00         1698.00         1867.00            8.60
           11.01           30.00         1697.23         1867.23            8.60
           11.02           30.00         1696.46         1867.46            8.60
           11.03           30.00         1695.69         1867.69            8.60
           11.04           30.00         1694.92         1867.92            8.60
           11.05           30.00         1694.15         1868.15            8.60
           11.06           30.00         1693.38         1868.38            8.61
           11.07           30.00         1692.61         1868.61            8.61
           11.08           30.00         1691.84         1868.84            8.61
           11.09           30.00         1691.07         1869.07            8.61
           11.10           30.00         1690.30         1869.30            8.61
           11.11           30.00         1689.53         1869.53            8.61
           11.12           30.00         1688.76         1869.76            8.61
           11.13           30.00         1687.99         1869.99            8.61
           11.14           30.00         1687.22         1870.22            8.61
           11.15           30.00         1686.45         1870.45            8.61
           11.16           30.00         1685.68         1870.68            8.62
           11.17           30.00         1684.91         1870.91            8.62
           11.18           30.00         1684.14         1871.14            8.62
           11.19           30.00         1683.37         1871.37            8.62
           11.20           30.00         1682.60         1871.60            8.62
           11.21           30.00         1681.83         1871.83            8.62
           11.22           30.00         1681.06         1872.06            8.62
           11.23           30.00         1680.29         1872.29            8.62
           11.24           30.00         1679.52         1872.52            8.62
           11.25           30.00         1678.75         1872.75            8.62
           11.26           30.00         1677.98         1872.98            8.63
           11.27           30.00         1677.21         1873.21            8.63
           11.28           30.00         1676.44         1873.44            8.63
           11.29           30.00         1675.67         1873.67            8.63
           11.30           30.00         1674.90         1873.90            8.63
           11.31           30.00         1674.13         1874.13            8.63
           11.32           30.00         1673.36         1874.36            8.63
           11.33           30.00         1672.59         1874.59            8.63
           11.34           30.00         1671.82         1874.82            8.63
           11.35           30.00         1671.05         1875.05            8.63
           11.36           30.00         1670.28         1875.28            8.64
           11.37           30.00         1669.51         1875.51            8.64
           11.38           30.00         1668.74         1875.74            8.64
           11.39           30.00         1667.97         1875.97            8.64
           11.40           30.00         1667.20         1876.20            8.64
           11.41           30.00         1666.43         1876.43            8.64
           11.42           30.00         1665.66         1876.66            8.64
           11.43           30.00         1664.89         1876.89            8.64
           11.44           30.00         1664.12         1877.12            8.64
           11.45           30.00         1663.35         1877.35            8.64
           11.46           30.00         1662.58         1877.58            8.65
           11.47           30.00         1661.81         1877.81            8.65
           11.48           30.00         1661.04         1878.04            8.65
           11.49           30.00         1660.27         1878.27            8.65
           11.50           30.00         1659.50         1878.50            8.65
           11.51           30.00         1658.73         1878.73            8.65
           11.52           30.00         1657.96         1878.96            8.65
           11.53           30.00         1657.19         1879.19            8.65
           11.54           30.00         1656.42         1879.42            8.65
           11.55           30.00         1655.65         1879.65            8.65
           11.56           30.00         1654.88         1879.88            8.66
           11.57           30.00         1654.11         1880.11            8.66
           11.58           30.00         1653.34         1880.34            8.66
