     t      mass       XCG       Ixx       Iyy         p    TF_sea TF_vacuum     dm/dt
     s        kg         m    kg-m^2    kg-m^2  kgf/cm^2       kgf       kgf    kg/sec
  1.46    581.76      2.64     11.43    716.19    174.24  10362.80  10632.02     39.95
  1.47    581.35      2.64     11.42    715.82    174.41  10373.10  10642.32     39.99
  1.48    580.94      2.64     11.42    715.44    174.57  10383.40  10652.61     40.02
  1.49    580.53      2.64     11.41    715.07    174.74  10393.70  10662.91     40.06
  1.50    580.12      2.64     11.40    714.70    174.90  10404.00  10673.20     40.10
  1.51    579.70      2.64     11.40    714.33    175.06  10414.30  10683.49     40.14
  1.52    579.29      2.64     11.39    713.95    175.23  10424.60  10693.79     40.18
  1.53    578.88      2.64     11.38    713.58    175.39  10434.90  10704.08     40.21
  1.54    578.47      2.64     11.38    713.20    175.56  10445.20  10714.38     40.25
  1.55    578.05      2.64     11.37    712.83    175.72  10455.50  10724.67     40.29
  1.56    577.64      2.63     11.37    712.45    175.88  10465.80  10734.96     40.33
  1.57    577.23      2.63     11.36    712.08    176.05  10476.10  10745.26     40.37
  1.58    576.81      2.63     11.35    711.70    176.21  10486.40  10755.55     40.40
  1.59    576.40      2.63     11.35    711.33    176.38  10496.70  10765.85     40.44
  1.60    575.98      2.63     11.34    710.95    176.54  10507.00  10776.14     40.48
  1.61    575.57      2.63     11.33    710.58    176.70  10517.30  10786.43     40.52
  1.62    575.15      2.63     11.33    710.20    176.87  10527.60  10796.73     40.56
  1.63    574.74      2.63     11.32    709.82    177.03  10537.90  10807.02     40.59
  1.64    574.32      2.63     11.31    709.44    177.20  10548.20  10817.32     40.63
  1.65    573.90      2.63     11.31    709.07    177.36  10558.50  10827.61     40.67
  1.66    573.48      2.63     11.30    708.69    177.52  10568.80  10837.90     40.71
  1.67    573.07      2.63     11.30    708.31    177.69  10579.10  10848.20     40.75
  1.68    572.65      2.63     11.29    707.93    177.85  10589.40  10858.49     40.78
  1.69    572.23      2.63     11.28    707.55    178.02  10599.70  10868.79     40.82
  1.70    571.81      2.63     11.28    707.17    178.18  10610.00  10879.08     40.86
  1.71    571.39      2.63     11.27    706.79    178.34  10620.30  10889.37     40.90
  1.72    570.97      2.63     11.26    706.41    178.51  10630.60  10899.67     40.94
  1.73    570.55      2.63     11.26    706.03    178.67  10640.90  10909.96     40.97
  1.74    570.13      2.63     11.25    705.65    178.84  10651.20  10920.26     41.01
  1.75    569.71      2.63     11.24    705.27    179.00  10661.50  10930.55     41.05
  1.76    569.29      2.63     11.24    704.89    179.16  10671.80  10940.84     41.09
  1.77    568.87      2.63     11.23    704.50    179.33  10682.10  10951.14     41.13
  1.78    568.45      2.63     11.22    704.12    179.49  10692.40  10961.43     41.16
  1.79    568.02      2.63     11.22    703.74    179.66  10702.70  10971.73     41.20
  1.80    567.60      2.62     11.21    703.35    179.82  10713.00  10982.02     41.24
  1.81    567.18      2.62     11.21    702.97    179.98  10723.30  10992.31     41.28
  1.82    566.75      2.62     11.20    702.59    180.15  10733.60  11002.61     41.32
  1.83    566.33      2.62     11.19    702.20    180.31  10743.90  11012.90     41.35
  1.84    565.91      2.62     11.19    701.82    180.48  10754.20  11023.20     41.39
  1.85    565.48      2.62     11.18    701.43    180.64  10764.50  11033.49     41.43
  1.86    565.06      2.62     11.17    701.05    180.80  10774.80  11043.78     41.47
  1.87    564.63      2.62     11.17    700.66    180.97  10785.10  11054.08     41.51
  1.88    564.20      2.62     11.16    700.28    181.13  10795.40  11064.37     41.54
  1.89    563.78      2.62     11.15    699.89    181.30  10805.70  11074.67     41.58
  1.90    563.35      2.62     11.15    699.50    181.46  10816.00  11084.96     41.62
  1.91    562.92      2.62     11.14    699.12    181.62  10826.30  11095.25     41.66
  1.92    562.50      2.62     11.13    698.73    181.79  10836.60  11105.55     41.70
  1.93    562.07      2.62     11.13    698.34    181.95  10846.90  11115.84     41.73
  1.94    561.64      2.62     11.12    697.95    182.12  10857.20  11126.14     41.77
  1.95    561.21      2.62     11.11    697.56    182.28  10867.50  11136.43     41.81
  1.96    560.78      2.62     11.11    697.17    182.44  10877.80  11146.72     41.85
  1.97    560.35      2.62     11.10    696.78    182.61  10888.10  11157.02     41.89
  1.98    559.92      2.62     11.09    696.40    182.77  10898.40  11167.31     41.92
  1.99    559.49      2.62     11.09    696.01    182.94  10908.70  11177.61     41.96
  2.00    559.06      2.62     11.08    695.61    183.10  10919.00  11187.90     42.00
